Date,Open,High,Low,Close,Adj_Close,Volume,Daily_Range,Price_Change,Pct_change,Prev_Close,Returns,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,Avg_Gain,Avg_Loss,RSI,Upper_BB,Lower_BB,ATR,Prev_Volume,Volume_Pct_Change,OBV,Lag_Close_1,Lag_Close_2,Lag_Close_3,Day_of_Week,Month,Quarter
2018-02-05,262.0,267.899994,250.029999,254.259995,254.259995,11896100,17.86999499999999,-7.7400049999999965,-0.029542,,,254.26,254.26,254.26,254.26,254.26,0.0,0.0,0.0,0.0,0.0,,,,17.87,,,0,,,,2,2,1
2018-02-06,247.699997,266.700012,245.0,265.720001,265.720001,12595800,21.700012000000015,18.02000400000003,0.072749,254.259995,0.045072,259.99,259.99,259.99,256.02,255.11,0.9099999999999682,0.45,0.45999999999996816,5.73,0.0,,276.19,243.79000000000002,19.79,11896100,0.058818,12595800,254.259995,,,3,2,1
2018-02-07,266.579987,272.450012,264.329987,264.559998,264.559998,8981500,8.120024999999998,-2.0199890000000096,-0.007577,265.720001,-0.004366,261.51,261.51,261.51,257.34,255.81,1.5299999999999727,0.81,0.7199999999999727,3.82,0.39,90.74,274.13,248.89,15.9,12595800,-0.286945,3614300,265.720001,254.259995,,4,2,1
2018-02-08,267.079987,267.619995,250.0,250.100006,250.100006,9306700,17.619995000000017,-16.97998100000001,-0.063576,264.559998,-0.054657,258.66,258.66,258.66,256.22,255.39,0.8300000000000409,0.82,0.010000000000040976,2.87,3.9,42.39,274.04,243.28000000000003,16.33,8981500,0.036208,-5692400,264.559998,265.720001,254.259995,5,2,1
2018-02-09,253.850006,255.800003,236.110001,249.470001,249.470001,16906900,19.690001999999993,-4.380005000000011,-0.017254,250.100006,-0.002519,256.82,256.82,256.82,255.18,254.95,0.2300000000000182,0.7,-0.46999999999998177,2.29,3.25,41.34,272.46,241.18,17.0,9306700,0.816637,-22599300,250.100006,264.559998,265.720001,6,2,1
2018-02-12,252.139999,259.149994,249.0,257.950012,257.950012,8534900,10.149993999999992,5.810013000000026,0.023043,249.470001,0.033992,257.56,257.01,257.01,255.61,255.17,0.44000000000002615,0.66,-0.21999999999997388,3.32,2.71,55.06,271.03,242.98999999999998,15.86,16906900,-0.495182,-14064400,249.470001,250.100006,264.559998,2,2,1
2018-02-13,257.290009,261.410004,254.699997,258.269989,258.269989,6855200,6.710007000000019,0.9799800000000118,0.003809,257.950012,0.00124,256.07,257.19,257.19,256.02,255.4,0.6199999999999761,0.65,-0.030000000000023896,2.89,2.32,55.47,270.03,244.35,14.55,8534900,-0.196804,-7209200,257.950012,249.470001,250.100006,3,2,1
2018-02-14,260.470001,269.880005,260.329987,266.0,266.0,10972000,9.550017999999966,5.529998999999975,0.021231,258.269989,0.02993,256.36,258.29,258.29,257.55,256.19,1.3600000000000136,0.74,0.6200000000000137,3.5,2.03,63.29,271.71000000000004,244.87000000000003,14.18,6855200,0.600537,3762800,258.269989,257.950012,249.470001,4,2,1
2018-02-15,270.029999,280.5,267.630005,280.269989,280.269989,10759700,12.869995000000017,10.239990000000034,0.037922,266.0,0.053647,262.39,260.73,260.73,261.05,257.97,3.079999999999984,1.0,2.079999999999984,4.7,1.81,72.2,280.03000000000003,241.43,14.22,10972000,-0.019349,14522500,266.0,258.269989,257.950012,5,2,1
2018-02-16,278.730011,281.959991,275.690002,278.519989,278.519989,8312400,6.26998900000001,-0.21002199999998084,-7.53E-4,280.269989,-0.006244,268.2,262.51,262.51,263.74,259.49,4.25,1.47,2.7800000000000002,4.23,1.8,70.15,283.89,241.13,13.42,10759700,-0.227451,6210100,280.269989,266.0,258.269989,6,2,1
